"ID","Title","Slug","Description","About","Main image","Start","End","Time zone","Schedule TDB","Schedule formatted","Start date formatted","Start time formatted","Location name","Location address","Created","Modified","Status","Type","Registration status","Lowest price formatted","Highest price formatted","Google calendar url","iCalendar url","Site event page url","Registration url","Creator id"
"c7b7dfe0-2023-4b01-ac84-13d68faf74bb","A Chiropractor’s Perspective on Health","a-chiropractors-perspective-on-health","Michael Ewald DC gives us his take on Health from the point of view of a chiropractor! Join us to learn more!! ",,"image://v1/5cb354_0ab175b080094ddeb22d55526732aaa5~mv2.jpg/1242_677/5cb354_0ab175b080094ddeb22d55526732aaa5~mv2.jpg",2019-06-24T23:30:00Z,2019-06-25T00:30:00Z,"America/Chicago",false,"June 24, 2019, 6:30 PM – 7:30 PM","June 24, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-06-04T00:35:08Z,2019-06-04T00:35:09Z,"SCHEDULED","RSVP","OPEN_RSVP",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=A+Chiropractor%E2%80%99s+Perspective+on+Health&dates=20190624T233000Z/20190625T003000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/c7b7dfe0-2023-4b01-ac84-13d68faf74bb","/events-1/a-chiropractors-perspective-on-health","https://www.livinggreenstl.com/events-1/a-chiropractors-perspective-on-health/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"6e3c00dd-1fd4-4e06-980e-07715357b42f","Natural Solutions for Depression & Anxiety ","natural-solutions-for-depression-anxiety-1","Candace Corson, M.D. is Dedicated to improving how we feed the current and future generations, and up-grading our plant foundation for help your life!",,"image://v1/5cb354_766dacdd023047718bfad4204ab43172~mv2.jpg/1242_791/5cb354_766dacdd023047718bfad4204ab43172~mv2.jpg",2019-06-19T23:30:00Z,2019-06-20T00:30:00Z,"America/Chicago",false,"June 19, 2019, 6:30 PM – 7:30 PM","June 19, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-06-04T00:31:32Z,2019-06-04T00:31:33Z,"SCHEDULED","RSVP","OPEN_RSVP",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Natural+Solutions+for+Depression+%26+Anxiety+&dates=20190619T233000Z/20190620T003000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/6e3c00dd-1fd4-4e06-980e-07715357b42f","/events-1/natural-solutions-for-depression-anxiety-1","https://www.livinggreenstl.com/events-1/natural-solutions-for-depression-anxiety-1/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"dab5bd04-2519-45f7-99be-50b92af46338","Change Your Water, Change Your Life","change-your-water-change-your-life","Come join us for the ultimate Water Demonstration that will prove if you change your water your life will change too!! ",,"image://v1/5cb354_d550bfa93bd14aae93f3ee84f6a2c7e1~mv2_d_1239_1222_s_2.jpg/1239_1222/5cb354_d550bfa93bd14aae93f3ee84f6a2c7e1~mv2_d_1239_1222_s_2.jpg",2019-06-10T23:30:00Z,2019-06-11T00:30:00Z,"America/Chicago",false,"June 10, 2019, 6:30 PM – 7:30 PM","June 10, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-06-04T00:29:06Z,2019-06-04T00:29:06Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Change+Your+Water%2C+Change+Your+Life&dates=20190610T233000Z/20190611T003000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/dab5bd04-2519-45f7-99be-50b92af46338","/events-1/change-your-water-change-your-life","https://www.livinggreenstl.com/events-1/change-your-water-change-your-life/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"c30d8b4a-6b39-4c63-a401-ac2960ed2e8f","Natural Solutions for Depression & Anxiety ","natural-solutions-for-depression-anxiety","Candace Corson, MD is dedicated to improving how we feed the current and future generations, and up-grading our plant foundation for a healthier life!",,"image://v1/5cb354_aeaaf4ed178f4c98b8b6b31b6de1f5b4~mv2.jpg/1242_791/5cb354_aeaaf4ed178f4c98b8b6b31b6de1f5b4~mv2.jpg",2019-06-19T23:30:00Z,2019-06-20T00:30:00Z,"America/Chicago",false,"June 19, 2019, 6:30 PM – 7:30 PM","June 19, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-06-03T17:14:01Z,2019-06-04T00:31:42Z,"CANCELED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Natural+Solutions+for+Depression+%26+Anxiety+&dates=20190619T233000Z/20190620T003000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/c30d8b4a-6b39-4c63-a401-ac2960ed2e8f","/events-1/natural-solutions-for-depression-anxiety","https://www.livinggreenstl.com/events-1/natural-solutions-for-depression-anxiety/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"528804b6-429e-423a-8f84-5bc15a2c8a13","Party at the Office Park with the Docs","party-at-the-office-park-with-the-docs","Join us for food, drinks, prizes, games, education from our Doctors, and get your medical card certification signed!! Use coupon code JUNE520 during online check out to get 20% off your certification!! ",,"image://v1/5cb354_a01f57e64e3a400aa61d8360a6b3a516~mv2_d_1800_1326_s_2.jpg/1800_1326/5cb354_a01f57e64e3a400aa61d8360a6b3a516~mv2_d_1800_1326_s_2.jpg",2019-06-05T23:00:00Z,2019-06-06T02:00:00Z,"America/Chicago",false,"June 5, 2019, 6:00 PM – 9:00 PM","June 5, 2019","6:00 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-06-02T14:31:01Z,2019-06-02T17:35:34Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Party+at+the+Office+Park+with+the+Docs&dates=20190605T230000Z/20190606T020000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/528804b6-429e-423a-8f84-5bc15a2c8a13","/events-1/party-at-the-office-park-with-the-docs","https://www.livinggreenstl.com/events-1/party-at-the-office-park-with-the-docs/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"93ec2736-1dcc-43c1-b11b-8f144005c60d","The Sacred Plant Episode 1 ","the-sacred-plant-episode-1","Come watch “The Scared Plant” Episode 1 with us! Learn more than you ever have with us about The Sacred Plant! There will be popcorn and kangen water!! And you get a free gift just for watching with us!! ",,"image://v1/5cb354_fffed921e92e41b0abfde6146be76e25~mv2.jpg/1242_846/5cb354_fffed921e92e41b0abfde6146be76e25~mv2.jpg",2019-06-14T23:30:00Z,2019-06-15T01:30:00Z,"America/Chicago",false,"June 14, 2019, 6:30 PM – 8:30 PM","June 14, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-05-13T21:36:11Z,2019-05-13T21:36:11Z,"ENDED","TICKETS","CLOSED","$5","$5","http://calendar.google.com/calendar/render?action=TEMPLATE&text=The+Sacred+Plant+Episode+1+&dates=20190614T233000Z/20190615T013000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/93ec2736-1dcc-43c1-b11b-8f144005c60d","/events-1/the-sacred-plant-episode-1","https://www.livinggreenstl.com/events-1/the-sacred-plant-episode-1","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"fca99f58-d0f7-45bf-b499-d6a0293cf69c","Asthma. Allergies and Solutions!","asthma-allergies-and-solutions","Leanne Harris, a 35 year radiologist technician talks about asthma, allergies and solutions! Join us May 30th at 6:30pm",,"image://v1/5cb354_93f62c0703df4220ac78ebdb4df9ad5b~mv2_d_3600_3600_s_4_2.jpg/3600_3600/5cb354_93f62c0703df4220ac78ebdb4df9ad5b~mv2_d_3600_3600_s_4_2.jpg",2019-05-30T23:30:00Z,2019-05-31T00:30:00Z,"America/Chicago",false,"May 30, 2019, 6:30 PM – 7:30 PM","May 30, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-05-13T21:16:34Z,2019-05-13T21:16:34Z,"ENDED","TICKETS","CLOSED","$5","$5","http://calendar.google.com/calendar/render?action=TEMPLATE&text=Asthma.+Allergies+and+Solutions%21&dates=20190530T233000Z/20190531T003000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/fca99f58-d0f7-45bf-b499-d6a0293cf69c","/events-1/asthma-allergies-and-solutions","https://www.livinggreenstl.com/events-1/asthma-allergies-and-solutions","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"ec8a9c91-24c5-416c-adf6-580f62ab7cb1","Movie Night - The Greater Good","movie-night-the-greater-good","Come watch ‘The Greater Good’ with us! There will be popcorn and Kangen water!! ",,"image://v1/5cb354_747deecc2fcf4ebe9787e3cb5a8ad994~mv2_d_1242_1240_s_2.jpg/1242_1240/5cb354_747deecc2fcf4ebe9787e3cb5a8ad994~mv2_d_1242_1240_s_2.jpg",2019-05-17T23:30:00Z,2019-05-18T02:30:00Z,"America/Chicago",false,"May 17, 2019, 6:30 PM – 9:30 PM","May 17, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-05-13T20:44:41Z,2019-05-13T20:44:42Z,"ENDED","TICKETS","CLOSED","$5","$5","http://calendar.google.com/calendar/render?action=TEMPLATE&text=Movie+Night+-+The+Greater+Good&dates=20190517T233000Z/20190518T023000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/ec8a9c91-24c5-416c-adf6-580f62ab7cb1","/events-1/movie-night-the-greater-good","https://www.livinggreenstl.com/events-1/movie-night-the-greater-good","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"3f2fcacc-baff-4709-af91-4db9bf21f264","Water for a Healthy Life ","water-for-a-healthy-life","Come learn more about how Kangen water can change your life! Watch Rick Banda provide a demonstration on how this water is the BEST!! ",,"image://v1/5cb354_9a20c32637ef4755ac7be5a42cd63dec~mv2.jpg/820_461/5cb354_9a20c32637ef4755ac7be5a42cd63dec~mv2.jpg",2019-05-20T23:30:00Z,2019-05-21T01:30:00Z,"America/Chicago",false,"May 20, 2019, 6:30 PM – 8:30 PM","May 20, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-05-13T20:34:59Z,2019-05-13T20:35:00Z,"ENDED","TICKETS","CLOSED","$5","$5","http://calendar.google.com/calendar/render?action=TEMPLATE&text=Water+for+a+Healthy+Life+&dates=20190520T233000Z/20190521T013000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/3f2fcacc-baff-4709-af91-4db9bf21f264","/events-1/water-for-a-healthy-life","https://www.livinggreenstl.com/events-1/water-for-a-healthy-life","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"f35b7912-ea61-40e3-97b7-cc667b74523b","Beauty, Skin & Your Health - Healthy Living Revolution ","beauty-skin-your-health-healthy-living-revolution","Listen from Valerie Early, RD, LDN, RPHT on how our skin alerts us to our health and how we can improve our skin & beauty!! ",,"image://v1/5cb354_c8d1aaa4fc7b407a9b38b69cd59ff1f3~mv2.jpg/1242_756/5cb354_c8d1aaa4fc7b407a9b38b69cd59ff1f3~mv2.jpg",2019-04-16T23:30:00Z,2019-04-17T00:30:00Z,"America/Chicago",false,"April 16, 2019, 6:30 PM – 7:30 PM","April 16, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-04-03T22:31:08Z,2019-04-03T22:31:09Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Beauty%2C+Skin+%26+Your+Health+-+Healthy+Living+Revolution+&dates=20190416T233000Z/20190417T003000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/f35b7912-ea61-40e3-97b7-cc667b74523b","/events-1/beauty-skin-your-health-healthy-living-revolution","https://www.livinggreenstl.com/events-1/beauty-skin-your-health-healthy-living-revolution/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"1400f913-ef34-4ed8-8088-9beee07fe669","Farm to Capsule Part 2 - Healthy Living Revolution","farm-to-capsule-part-2-healthy-living-revolution","Join us for Part 2 to learn about how food is grown, the importance of vegetables & fruits and how to absolutely flood your body with nutrients!! ",,"image://v1/5cb354_492662bb8202402a8172060225836d95~mv2.jpg/1242_781/5cb354_492662bb8202402a8172060225836d95~mv2.jpg",2019-04-25T23:00:00Z,2019-04-25T23:30:00Z,"America/Chicago",false,"April 25, 2019, 6:00 PM – 6:30 PM","April 25, 2019","6:00 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-04-03T22:10:56Z,2019-04-03T22:10:57Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Farm+to+Capsule+Part+2+-+Healthy+Living+Revolution&dates=20190425T230000Z/20190425T233000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/1400f913-ef34-4ed8-8088-9beee07fe669","/events-1/farm-to-capsule-part-2-healthy-living-revolution","https://www.livinggreenstl.com/events-1/farm-to-capsule-part-2-healthy-living-revolution/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"8fda53b4-5fe8-44a6-9e8f-468134e301ec","Farm to Capsule Part 1 - Healthy Living Revolution","farm-to-capsule-part-1-healthy-living-revolution","Join us to learn about how food is grown, the importance of vegetables & fruits and how to absolutely flood your body with nutrients!! ",,"image://v1/5cb354_8d77728184924dc19a73c2201be4a615~mv2.jpg/1242_840/5cb354_8d77728184924dc19a73c2201be4a615~mv2.jpg",2019-04-04T23:00:00Z,2019-04-04T23:30:00Z,"America/Chicago",false,"April 4, 2019, 6:00 PM – 6:30 PM","April 4, 2019","6:00 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-04-03T22:05:51Z,2019-04-03T22:05:52Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Farm+to+Capsule+Part+1+-+Healthy+Living+Revolution&dates=20190404T230000Z/20190404T233000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/8fda53b4-5fe8-44a6-9e8f-468134e301ec","/events-1/farm-to-capsule-part-1-healthy-living-revolution","https://www.livinggreenstl.com/events-1/farm-to-capsule-part-1-healthy-living-revolution/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"e7c7f186-e911-4019-ba38-7dfd4f36e832","Mama's Market","mamas-market","At 1st Step Family Wellness - suite 200. 


https://www.facebook.com/events/301163383872542/?ti=icl",,"image://v1/5cb354_4fbeed280f774102b5d8a9be5f229a53~mv2_d_3384_2538_s_4_2.jpg/3384_2538/5cb354_4fbeed280f774102b5d8a9be5f229a53~mv2_d_3384_2538_s_4_2.jpg",2019-04-06T15:00:00Z,2019-04-06T18:30:00Z,"America/Chicago",false,"April 6, 2019, 10:00 AM – 1:30 PM","April 6, 2019","10:00 AM","12201 Big Bend Rd","12201 Big Bend Rd, Kirkwood, MO 63122, USA",2019-04-03T21:38:52Z,2019-04-03T21:38:52Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Mama%27s+Market&dates=20190406T150000Z/20190406T183000Z&location=12201+Big+Bend+Rd%2C+Kirkwood%2C+MO+63122%2C+USA","https://www.wixevents.com/media/calendar/e7c7f186-e911-4019-ba38-7dfd4f36e832","/events-1/mamas-market","https://www.livinggreenstl.com/events-1/mamas-market/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"410fb0f6-0c9c-4776-953f-6284aa20611c","Movie Night Double Feature!! ","movie-night-double-feature","Join is for Movie Night as we learn about plant based lifestyles and GMO's!! We will have popcorn, and Kangen water!! ",,"image://v1/5cb354_eecb2064a48b41dfa6c2fe6a2e169da3~mv2.jpg/850_1285/5cb354_eecb2064a48b41dfa6c2fe6a2e169da3~mv2.jpg",2019-04-19T23:30:00Z,2019-04-20T03:30:00Z,"America/Chicago",false,"April 19, 2019, 6:30 PM – 10:30 PM","April 19, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-03-31T19:39:17Z,2019-03-31T19:39:17Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Movie+Night+Double+Feature%21%21+&dates=20190419T233000Z/20190420T033000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/410fb0f6-0c9c-4776-953f-6284aa20611c","/events-1/movie-night-double-feature","https://www.livinggreenstl.com/events-1/movie-night-double-feature/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"bb1b2ee4-4135-4d1d-9452-427016c6fd33","Go Green with Kangen Water ","go-green-with-kangen-water","Are you ready to Go Green and reduce your use of plastics, chemicals and toxins for your family's & your health, and the planet?? Learn how to make a huge global impact with one simple change; Change Your Water, Change Your Life with Kangen Water!! ",,"image://v1/5cb354_fc6874deb3734b018778a3a2aac12e68~mv2.png/820_461/5cb354_fc6874deb3734b018778a3a2aac12e68~mv2.png",2019-04-29T23:30:00Z,2019-04-30T01:00:00Z,"America/Chicago",false,"April 29, 2019, 6:30 PM – 8:00 PM","April 29, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-03-24T17:11:37Z,2019-04-09T15:05:23Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Go+Green+with+Kangen+Water+&dates=20190429T233000Z/20190430T010000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/bb1b2ee4-4135-4d1d-9452-427016c6fd33","/events-1/go-green-with-kangen-water","https://www.livinggreenstl.com/events-1/go-green-with-kangen-water/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
"216a32d9-2147-4eff-a2fe-066b031d0b65","Crunchi GNO @LivingGreenResourceCenter","crunchi-gno-livinggreenresourcecenter","The US food and drug administration permits  cosmetics companies to use toxic chemicals linked to cancer, endocrine disruption, reproductive toxicity, developmental toxicity and many other health concerns are hidden in the cosmetics we use. Join us to learn and see the Crunchi cosmetic solution!  ",,"image://v1/5cb354_1ec72fa7618046d99e57ffa115d4780f~mv2.jpg/708_941/5cb354_1ec72fa7618046d99e57ffa115d4780f~mv2.jpg",2019-04-23T23:30:00Z,2019-04-24T01:30:00Z,"America/Chicago",false,"April 23, 2019, 6:30 PM – 8:30 PM","April 23, 2019","6:30 PM","8976 Watson Rd","8976 Watson Rd, St. Louis, MO 63119, USA",2019-03-23T23:51:33Z,2019-03-23T23:51:34Z,"ENDED","RSVP","CLOSED",,,"http://calendar.google.com/calendar/render?action=TEMPLATE&text=Crunchi+GNO+%40LivingGreenResourceCenter&dates=20190423T233000Z/20190424T013000Z&location=8976+Watson+Rd%2C+St.+Louis%2C+MO+63119%2C+USA","https://www.wixevents.com/media/calendar/216a32d9-2147-4eff-a2fe-066b031d0b65","/events-1/crunchi-gno-livinggreenresourcecenter","https://www.livinggreenstl.com/events-1/crunchi-gno-livinggreenresourcecenter/form","5cb354d8-7058-45b0-a3ee-f5728a151b07"
